Subj_idx,Stimulus,Response,Confidence,RT_decConf,blocki,triali,keypress,coh_level,coherence,isCalibTrial,stairID,accTarget
6,2,2,2,0.0860288143157959,20,1155,comma,1,0.06604960397435526,0,NaN,NaN
6,2,1,3,0.05217385292053223,20,1156,x,3,0.17423242861631524,0,NaN,NaN
6,2,2,2,0.12511181831359863,20,1157,comma,5,0.20276466617309993,0,NaN,NaN
6,2,1,3,0.08979392051696777,20,1158,x,5,0.20276466617309993,0,NaN,NaN
6,1,2,2,0.07298493385314941,20,1159,comma,3,0.17423242861631524,0,NaN,NaN
6,2,1,3,0.02119278907775879,20,1160,x,5,0.20276466617309993,0,NaN,NaN
6,1,2,2,0.0658268928527832,20,1161,comma,3,0.17423242861631524,0,NaN,NaN
6,2,1,3,0.6610498428344727,20,1162,x,2,0.12014101629533525,0,NaN,NaN
6,2,2,2,0.10677194595336914,20,1163,comma,1,0.06604960397435526,0,NaN,NaN
6,2,1,3,0.14830398559570312,20,1164,x,3,0.17423242861631524,0,NaN,NaN
6,1,2,2,0.019976139068603516,20,1165,comma,1,0.06604960397435526,0,NaN,NaN
6,2,1,3,0.11065316200256348,20,1166,x,1,0.06604960397435526,0,NaN,NaN
6,2,2,2,0.24007201194763184,20,1167,comma,3,0.17423242861631524,0,NaN,NaN
6,1,1,3,0.25351405143737793,20,1168,x,1,0.06604960397435526,0,NaN,NaN
6,2,2,2,0.18106794357299805,20,1169,comma,3,0.17423242861631524,0,NaN,NaN
6,1,1,3,0.21798491477966309,20,1170,x,2,0.12014101629533525,0,NaN,NaN
6,2,2,2,0.17232084274291992,20,1171,comma,5,0.20276466617309993,0,NaN,NaN
6,2,1,3,0.2072460651397705,20,1172,x,3,0.17423242861631524,0,NaN,NaN
6,1,2,1,0.9434959888458252,20,1173,m,4,0.1884985473947076,0,NaN,NaN
6,2,2,1,0.3275918960571289,20,1174,m,5,0.20276466617309993,0,NaN,NaN
6,1,2,1,0.22675609588623047,20,1175,m,5,0.20276466617309993,0,NaN,NaN
6,2,2,1,0.29413509368896484,20,1176,m,3,0.17423242861631524,0,NaN,NaN
6,1,1,2,0.22806787490844727,20,1177,c,1,0.06604960397435526,0,NaN,NaN
6,1,1,2,0.11942291259765625,20,1178,c,1,0.06604960397435526,0,NaN,NaN
6,1,1,2,0.12288618087768555,20,1179,c,3,0.17423242861631524,0,NaN,NaN
6,2,2,1,0.19841408729553223,20,1180,m,4,0.1884985473947076,0,NaN,NaN
6,1,1,2,0.2364180088043213,20,1181,c,2,0.12014101629533525,0,NaN,NaN
6,2,2,1,0.13802886009216309,20,1182,m,1,0.06604960397435526,0,NaN,NaN
6,2,1,2,0.023613929748535156,20,1183,c,3,0.17423242861631524,0,NaN,NaN
6,2,2,1,0.02842116355895996,20,1184,m,5,0.20276466617309993,0,NaN,NaN
6,1,1,2,0.5940258502960205,20,1185,c,3,0.17423242861631524,0,NaN,NaN
6,2,2,1,0.1814708709716797,20,1186,m,5,0.20276466617309993,0,NaN,NaN
6,2,2,1,0.3054490089416504,20,1187,m,5,0.20276466617309993,0,NaN,NaN
6,2,2,1,0.09632396697998047,20,1188,m,3,0.17423242861631524,0,NaN,NaN
6,2,2,1,0.23058700561523438,20,1189,m,4,0.1884985473947076,0,NaN,NaN
6,2,2,1,0.09101700782775879,20,1190,m,1,0.06604960397435526,0,NaN,NaN
6,2,2,1,0.1462697982788086,20,1191,m,3,0.17423242861631524,0,NaN,NaN
6,1,1,2,0.18606209754943848,20,1192,c,5,0.20276466617309993,0,NaN,NaN
6,1,1,2,0.19101405143737793,20,1193,c,3,0.17423242861631524,0,NaN,NaN
6,1,1,2,0.06913518905639648,20,1194,c,2,0.12014101629533525,0,NaN,NaN
6,2,1,2,0.07225704193115234,20,1195,c,5,0.20276466617309993,0,NaN,NaN
6,1,1,2,0.18832802772521973,20,1196,c,5,0.20276466617309993,0,NaN,NaN
6,1,1,2,0.20931696891784668,20,1197,c,3,0.17423242861631524,0,NaN,NaN
6,1,1,2,0.19455695152282715,20,1198,c,1,0.06604960397435526,0,NaN,NaN
6,2,2,1,0.3217289447784424,20,1199,m,1,0.06604960397435526,0,NaN,NaN
6,2,2,1,0.22684311866760254,20,1200,m,3,0.17423242861631524,0,NaN,NaN
